epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,4185.32,0.53808,0.95627,0.49385,1.13361,0,0.90538,0.88258,0.93564,0.82287,0.89542,0.87287,0.91549,0.82709,0.3717,0.47751,0.29472,0.98709,0,0.000761423,0.000761423,0.000761423
51,4267.54,0.54706,0.98392,0.51702,1.1392,0,0.89438,0.9043,0.92492,0.77423,0.88915,0.89562,0.90596,0.78584,0.40817,0.45719,0.36988,1.02702,0,0.0007525,0.0007525,0.0007525
52,4352.5,0.52873,0.95728,0.48145,1.12936,0,0.92772,0.87864,0.93136,0.81571,0.9164,0.86893,0.91265,0.82065,0.3665,0.48664,0.49449,0.97061,0,0.000743468,0.000743468,0.000743468
53,4437.46,0.54813,0.97187,0.50112,1.14882,0,0.93435,0.82908,0.9285,0.79866,0.92345,0.82039,0.90738,0.80087,0.41859,0.4585,0.45938,1.0081,0,0.000734332,0.000734332,0.000734332
54,4520.87,0.53844,0.91528,0.48613,1.13583,0,0.86562,0.89806,0.92914,0.80272,0.8565,0.89817,0.91587,0.81452,0.39789,0.4686,0.31,1.01758,0,0.000725094,0.000725094,0.000725094
55,4606.12,0.53585,0.96202,0.495,1.12437,0,0.90739,0.87864,0.92562,0.81231,0.90209,0.87379,0.91361,0.8066,0.38105,0.47095,0.35028,0.99747,0,0.000715761,0.000715761,0.000715761
56,4689.25,0.52464,0.90333,0.49102,1.12626,0,0.95954,0.80582,0.92373,0.82366,0.85245,0.89806,0.92045,0.81926,0.34936,0.46507,0.32291,0.9323,0,0.000706335,0.000706335,0.000706335
57,4773.11,0.54415,0.94977,0.4982,1.13074,0,0.90043,0.92189,0.94072,0.81908,0.88835,0.91262,0.93036,0.83676,0.41409,0.42842,0.32829,1.03546,0,0.00069682,0.00069682,0.00069682
58,4856.18,0.54084,0.94502,0.4967,1.13775,0,0.87275,0.91748,0.9333,0.82571,0.85889,0.90291,0.91459,0.82028,0.37706,0.46119,0.37653,1.00113,0,0.000687222,0.000687222,0.000687222
59,4939.92,0.52229,0.93079,0.4827,1.12075,0,0.96378,0.84951,0.94057,0.83679,0.95401,0.83981,0.92626,0.84725,0.41908,0.43014,0.3543,1.04959,0,0.000677543,0.000677543,0.000677543
