epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,11213.1,0.47454,0.847,0.41262,1.08939,0,0.92964,0.89797,0.94003,0.83831,0.91939,0.88587,0.92547,0.84847,0.34049,0.44392,0.28495,0.92846,0,0.000422449,0.000422449,0.000422449
85,11351.5,0.47461,0.86846,0.4211,1.09302,0,0.90834,0.91748,0.9418,0.84664,0.89873,0.90777,0.92726,0.8568,0.33902,0.42748,0.28552,0.92118,0,0.000412246,0.000412246,0.000412246
86,11494.7,0.47953,0.82925,0.44009,1.09043,0,0.93164,0.8601,0.92917,0.82899,0.92129,0.85231,0.91193,0.82134,0.32989,0.45837,0.29918,0.92423,0,0.000402084,0.000402084,0.000402084
87,11630.2,0.46972,0.8457,0.43807,1.07889,0,0.90492,0.8932,0.94093,0.8507,0.9034,0.87864,0.92535,0.85171,0.30299,0.42843,0.27269,0.8868,0,0.000391966,0.000391966,0.000391966
88,11764.5,0.47373,0.83122,0.41827,1.09327,0,0.9117,0.87864,0.93443,0.84004,0.9036,0.86454,0.91991,0.84904,0.33122,0.43051,0.3012,0.9361,0,0.000381899,0.000381899,0.000381899
89,11899.9,0.47397,0.8413,0.41385,1.09447,0,0.9194,0.88596,0.93828,0.84039,0.90934,0.87642,0.9213,0.84882,0.33944,0.44083,0.28074,0.91988,0,0.000371885,0.000371885,0.000371885
90,12037.1,0.4736,0.82722,0.42375,1.09154,0,0.91517,0.89028,0.93937,0.84951,0.90525,0.88125,0.92604,0.85182,0.32618,0.42006,0.33648,0.91142,0,0.000361929,0.000361929,0.000361929
91,12173.2,0.46443,0.82506,0.39135,1.07849,0,0.89372,0.91748,0.94316,0.84476,0.87954,0.90291,0.92753,0.85664,0.32917,0.44547,0.30526,0.92544,0,0.000352037,0.000352037,0.000352037
92,12309,0.45484,0.7954,0.40999,1.08089,0,0.88326,0.91825,0.9409,0.83789,0.93508,0.83911,0.92648,0.8572,0.34617,0.42516,0.28278,0.94768,0,0.000342211,0.000342211,0.000342211
93,12443.9,0.45817,0.82817,0.39606,1.07969,0,0.90497,0.89806,0.93982,0.84126,0.89519,0.88835,0.92135,0.85125,0.33692,0.41876,0.28248,0.93125,0,0.000332457,0.000332457,0.000332457
94,12575.5,0.46966,0.84033,0.41723,1.08643,0,0.88263,0.92233,0.94071,0.83795,0.86633,0.90777,0.92549,0.85291,0.32778,0.42778,0.275,0.92164,0,0.000322778,0.000322778,0.000322778
95,12710.5,0.44331,0.79783,0.39121,1.07066,0,0.88734,0.91764,0.93942,0.84742,0.87474,0.90291,0.92237,0.84994,0.33002,0.42108,0.26834,0.91095,0,0.00031318,0.00031318,0.00031318
96,12843,0.46448,0.82034,0.38436,1.08244,0,0.90349,0.90891,0.93973,0.85263,0.88903,0.89453,0.92411,0.85183,0.32377,0.42686,0.26952,0.91727,0,0.000303665,0.000303665,0.000303665
97,12982.3,0.45325,0.78007,0.38907,1.07632,0,0.92407,0.88613,0.9427,0.84427,0.90894,0.87219,0.92801,0.84706,0.34285,0.44299,0.25616,0.92593,0,0.000294239,0.000294239,0.000294239
98,13118.5,0.45299,0.82453,0.38624,1.07092,0,0.87652,0.93689,0.93912,0.84382,0.86144,0.92233,0.92353,0.84494,0.33879,0.43532,0.26509,0.91955,0,0.000284906,0.000284906,0.000284906
99,13253.1,0.46074,0.81146,0.40455,1.08113,0,0.87049,0.92233,0.92122,0.83279,0.8666,0.91453,0.90988,0.82398,0.31538,0.44811,0.2951,0.90649,0,0.000275668,0.000275668,0.000275668
100,13388.4,0.4595,0.82167,0.40632,1.07876,0,0.90818,0.8642,0.93127,0.84785,0.90308,0.85944,0.9199,0.84639,0.32449,0.43102,0.27166,0.90576,0,0.000266532,0.000266532,0.000266532
101,13523.9,0.44619,0.79939,0.37807,1.06844,0,0.95654,0.8547,0.9408,0.85336,0.94569,0.84535,0.92662,0.85576,0.31579,0.42272,0.26656,0.8972,0,0.0002575,0.0002575,0.0002575
102,13666.2,0.45071,0.80289,0.38421,1.07409,0,0.9596,0.84951,0.93574,0.84383,0.94863,0.83981,0.91966,0.85061,0.31929,0.42196,0.27452,0.90285,0,0.000248577,0.000248577,0.000248577
103,13803.4,0.46164,0.81206,0.40413,1.08532,0,0.925,0.86408,0.93744,0.84855,0.91651,0.85268,0.919,0.8493,0.32485,0.42807,0.27452,0.91453,0,0.000239766,0.000239766,0.000239766
104,13938.1,0.44557,0.8057,0.38538,1.06531,0,0.93517,0.85922,0.93502,0.85335,0.86914,0.90278,0.92397,0.85032,0.33297,0.4316,0.28318,0.91289,0,0.000231071,0.000231071,0.000231071
105,14069.2,0.43458,0.79572,0.38014,1.06437,0,0.93189,0.87864,0.93807,0.8505,0.91626,0.86408,0.9208,0.84853,0.3177,0.41787,0.26461,0.90459,0,0.000222497,0.000222497,0.000222497
106,14204.2,0.4463,0.78458,0.3861,1.06427,0,0.92645,0.87864,0.93808,0.84716,0.9108,0.86408,0.92019,0.84623,0.3257,0.41968,0.27625,0.92637,0,0.000214046,0.000214046,0.000214046
107,14336.6,0.43901,0.79941,0.38308,1.06227,0,0.9266,0.87379,0.9376,0.8407,0.93532,0.84235,0.91681,0.84537,0.31486,0.435,0.26588,0.91216,0,0.000205723,0.000205723,0.000205723
108,14467.7,0.43906,0.7788,0.37872,1.06377,0,0.95025,0.86893,0.93776,0.84686,0.94069,0.85922,0.92209,0.84773,0.31458,0.43736,0.26104,0.91704,0,0.000197532,0.000197532,0.000197532
109,14605,0.44471,0.79007,0.38528,1.07743,0,0.92178,0.8932,0.93993,0.84821,0.90658,0.87864,0.92317,0.85251,0.31702,0.41467,0.25565,0.91162,0,0.000189475,0.000189475,0.000189475
110,14739.6,0.43912,0.79938,0.37829,1.05639,0,0.91268,0.8932,0.9355,0.84505,0.90248,0.8835,0.92501,0.85505,0.32082,0.42148,0.26302,0.9074,0,0.000181557,0.000181557,0.000181557
111,14872.8,0.43236,0.76902,0.37904,1.06283,0,0.86146,0.92233,0.93456,0.8454,0.92578,0.84774,0.92175,0.85523,0.31663,0.42043,0.24877,0.90753,0,0.00017378,0.00017378,0.00017378
112,15009,0.42773,0.77808,0.35436,1.05943,0,0.93144,0.85922,0.93026,0.84208,0.92618,0.85437,0.91982,0.8557,0.31756,0.4275,0.27335,0.90446,0,0.000166149,0.000166149,0.000166149
113,15143.3,0.43378,0.80231,0.38393,1.06071,0,0.92439,0.89021,0.94106,0.84905,0.90952,0.87838,0.92265,0.85276,0.30898,0.43135,0.2501,0.90665,0,0.000158667,0.000158667,0.000158667
114,15277.6,0.43193,0.76668,0.37432,1.06317,0,0.90006,0.90291,0.94152,0.84848,0.88554,0.88835,0.92326,0.85245,0.31727,0.4274,0.24189,0.91157,0,0.000151336,0.000151336,0.000151336
115,15408.4,0.43028,0.75212,0.37212,1.05887,0,0.94708,0.86873,0.93688,0.84645,0.93102,0.85171,0.92136,0.85016,0.31078,0.43168,0.2489,0.90067,0,0.000144161,0.000144161,0.000144161
116,15544,0.41356,0.73285,0.3553,1.04253,0,0.9194,0.88835,0.93669,0.8531,0.904,0.87379,0.92389,0.85833,0.311,0.44196,0.24765,0.9037,0,0.000137143,0.000137143,0.000137143
117,15683.7,0.44019,0.78628,0.37546,1.06819,0,0.89829,0.90033,0.93289,0.85197,0.93429,0.84951,0.92317,0.85647,0.31624,0.41988,0.24206,0.90836,0,0.000130287,0.000130287,0.000130287
