epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,3011.24,1.09824,1.68802,0.71286,1.01394,0,0.59612,0.49839,0.50805,0.22791,0.56214,0.46998,0.45868,0.1777,1.95494,3.26156,1.38672,1.36939,0,0.000795954,0.000795954,0.000795954
47,3074.74,1.11146,1.69302,0.71254,1.01169,0,0.58922,0.52504,0.54051,0.24712,0.59766,0.50549,0.5168,0.2005,1.90503,3.06116,1.29513,1.33404,0,0.000787503,0.000787503,0.000787503
48,3139.26,1.10105,1.69137,0.70293,1.00064,0,0.60367,0.48741,0.51569,0.24431,0.57602,0.46352,0.47938,0.18896,1.85559,3.11913,1.32937,1.32659,0,0.000778929,0.000778929,0.000778929
49,3203,1.09029,1.68253,0.69197,1.0044,0,0.57333,0.50807,0.51733,0.2423,0.60184,0.46288,0.49141,0.19418,1.93292,3.05924,1.34288,1.33774,0,0.000770234,0.000770234,0.000770234
50,3267.76,1.08831,1.65612,0.68213,1.0017,0,0.6136,0.54035,0.54111,0.25408,0.60882,0.52356,0.52214,0.20185,1.8628,3.08516,1.29067,1.31366,0,0.000761423,0.000761423,0.000761423
51,3332.17,1.09223,1.69592,0.7012,1.00768,0,0.6145,0.54035,0.53861,0.25054,0.62873,0.504,0.52202,0.20084,1.89621,2.98531,1.29804,1.31896,0,0.0007525,0.0007525,0.0007525
52,3397.14,1.07259,1.6461,0.67683,0.99148,0,0.65046,0.51194,0.54802,0.25063,0.64428,0.49193,0.52522,0.20541,1.89376,2.99111,1.29704,1.31212,0,0.000743468,0.000743468,0.000743468
53,3462.37,1.0877,1.67368,0.66755,0.99602,0,0.60113,0.50787,0.51653,0.23809,0.58354,0.47966,0.48671,0.1974,1.92783,3.13451,1.32176,1.36477,0,0.000734332,0.000734332,0.000734332
54,3527.13,1.06765,1.63569,0.66711,0.99208,0,0.60055,0.53965,0.53097,0.24811,0.61036,0.50613,0.50698,0.20762,1.86746,2.93069,1.30978,1.30654,0,0.000725094,0.000725094,0.000725094
55,3589.48,1.04805,1.60759,0.65866,0.98925,0,0.59189,0.5113,0.50985,0.23772,0.58122,0.47487,0.48343,0.19271,1.88491,2.98156,1.41807,1.32821,0,0.000715761,0.000715761,0.000715761
